Category,Type,Value
Spam,URL,http://crypto-wealth.biz/bitcoin-investment-offer?id=78
Spam,Email,loan.approval.notice.0@fast-cash.co
Ham,Email,user1498@example.com
Spam,Email,prize.winner.now.85@get-your-cash.net
Spam,URL,http://find-love.club/dating-match?id=170
Spam,URL,http://claim-reward.club/you-won-a-gift?id=122
Spam,URL,http://security-team.net/unauthorized-access?id=166
Ham,Email,user1107@example.com
Spam,Email,prize.winner.now.174@get-your-cash.net
Ham,URL,https://www.example.com/page500
Ham,Email,user165@example.com
Ham,URL,https://www.example.com/page975
Ham,Email,user2530@example.com
Ham,URL,https://www.example.com/page1636
Spam,Email,prize.winner.now.180@get-your-cash.net
Spam,Email,bank.of.america.alert.196@online-banking.support
Spam,Email,youve.won.a.gift.64@claim-reward.club
Spam,URL,http://account-limited.net/paypal-security-center?id=83
Ham,Email,user1329@example.com
Ham,URL,https://www.example.com/page2719
Spam,Email,job.offer.urgent.2@career-opportunities.net
Ham,URL,https://www.example.com/page1155
Ham,URL,https://www.example.com/page1285
Spam,Email,account.security.alert.159@login-verify.info
Spam,Email,dating.match.for.you.150@find-love.club
Ham,URL,https://www.example.com/page2687
Ham,Email,user667@example.com
Spam,URL,http://security-team.net/unauthorized-access?id=220
Ham,Email,user1377@example.com
Ham,URL,https://www.example.com/page2483
Ham,URL,https://www.example.com/page162
Ham,URL,https://www.example.com/page1896
Ham,URL,https://www.example.com/page2723
Ham,URL,https://www.example.com/page1095
Spam,Email,job.offer.urgent.185@career-opportunities.net
Spam,URL,http://verify-account.support/confirm-details?id=30
Ham,Email,user438@example.com
Spam,Email,bank.of.america.alert.101@online-banking.support
Ham,URL,https://www.example.com/page1345
Ham,URL,https://www.example.com/page519
Spam,URL,http://get-your-cash.net/prize-winner?id=244
Spam,URL,http://system-scan.info/virus-detected?id=265
Ham,Email,user2279@example.com
Spam,URL,http://login-verify.info/account-security-alert?id=206
Spam,URL,http://find-love.club/dating-match?id=77
Spam,Email,your.package.on.hold.147@delivery-info.online
Spam,URL,http://find-love.club/dating-match?id=148
Ham,URL,https://www.example.com/page2253
Ham,Email,user2219@example.com
Ham,Email,user1075@example.com
Spam,Email,bank.of.america.alert.21@online-banking.support
Ham,Email,user1734@example.com
Ham,URL,https://www.example.com/page116
Spam,URL,http://online-banking.support/bank-of-america-alert?id=28
Spam,URL,http://fast-cash.co/loan-approval-notice?id=100
Ham,URL,https://www.example.com/page2481
Ham,Email,user2611@example.com
Spam,Email,confirm.your.details.67@verify-account.support
Spam,Email,dating.match.for.you.138@find-love.club
Spam,Email,your.package.on.hold.118@delivery-info.online
Spam,URL,http://order-processing.online/amazon-order-issue?id=210
Ham,URL,https://www.example.com/page1153
Ham,URL,https://www.example.com/page1375
Spam,URL,http://security-team.net/unauthorized-access?id=148
Spam,URL,http://secure-billing.co/invoice-payment-due?id=192
Spam,URL,http://limited-time.biz/free-money-offer?id=232
Spam,Email,your.package.on.hold.79@delivery-info.online
Ham,URL,https://www.example.com/page866
Ham,URL,https://www.example.com/page1033
Spam,Email,important.update.96@service-notification.org
Spam,URL,http://legal-funds.info/inheritance-claim?id=190
Ham,Email,user1607@example.com
Spam,Email,lottery.winner.notification.105@lucky-draw.org
Ham,URL,https://www.example.com/page821
Ham,Email,user1399@example.com
Ham,URL,https://www.example.com/page1483
Ham,URL,https://www.example.com/page1190
Spam,URL,http://find-love.club/dating-match?id=187
Spam,Email,your.package.on.hold.77@delivery-info.online
Spam,URL,http://lucky-draw.org/lottery-winner-notification?id=251
Ham,Email,user365@example.com
Ham,URL,https://www.example.com/page250
Ham,URL,https://www.example.com/page1309
Spam,Email,amazon.order.issue.272@order-processing.online
Spam,URL,http://service-notification.org/important-update?id=70
Ham,URL,https://www.example.com/page1857
Ham,URL,https://www.example.com/page1037
Ham,URL,https://www.example.com/page193
Ham,URL,https://www.example.com/page1533
Ham,URL,https://www.example.com/page1706
Ham,URL,https://www.example.com/page1840
Spam,URL,http://lucky-draw.org/lottery-winner-notification?id=177
Ham,Email,user1314@example.com
Spam,URL,http://lucky-draw.org/lottery-winner-notification?id=92
Ham,Email,user877@example.com
Ham,Email,user72@example.com
Spam,Email,confirm.your.details.150@verify-account.support
Spam,Email,unauthorized.access.211@security-team.net
Spam,Email,lottery.winner.notification.18@lucky-draw.org
Spam,URL,http://crypto-wealth.biz/bitcoin-investment-offer?id=264
Spam,URL,http://claim-reward.club/you-won-a-gift?id=244
Spam,URL,http://login-verify.info/account-security-alert?id=273
Spam,Email,prize.winner.now.11@get-your-cash.net
Spam,URL,http://get-your-cash.net/prize-winner?id=102
Ham,URL,https://www.example.com/page324
Ham,URL,https://www.example.com/page2388
Ham,Email,user2209@example.com
Ham,Email,user1574@example.com
Spam,Email,urgent.notice.123.251@suspiciousdomain.com
Ham,Email,user773@example.com
Ham,URL,https://www.example.com/page242
Ham,URL,https://www.example.com/page2635
Spam,URL,http://security-team.net/unauthorized-access?id=87
Spam,Email,prize.winner.now.228@get-your-cash.net
Ham,URL,https://www.example.com/page2338
Spam,URL,http://secure-billing.co/invoice-payment-due?id=107
Spam,URL,http://system-scan.info/virus-detected?id=262
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=63
Spam,Email,bitcoin.investment.offer.16@crypto-wealth.biz
Ham,URL,https://www.example.com/page80
Ham,Email,user1426@example.com
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=78
Ham,Email,user2364@example.com
Ham,Email,user665@example.com
Spam,Email,youve.won.a.gift.67@claim-reward.club
Ham,URL,https://www.example.com/page196
Spam,URL,http://limited-time.biz/free-money-offer?id=197
Spam,Email,important.update.194@service-notification.org
Spam,URL,http://security-team.net/unauthorized-access?id=219
Spam,Email,your.package.on.hold.149@delivery-info.online
Spam,Email,free.money.offer.185@limited-time.biz
Spam,URL,http://limited-time.biz/free-money-offer?id=213
Ham,URL,https://www.example.com/page1443
Ham,Email,user511@example.com
Ham,Email,user1719@example.com
Spam,URL,http://system-scan.info/virus-detected?id=211
Ham,URL,https://www.example.com/page2420
Spam,Email,loan.approval.notice.205@fast-cash.co
Ham,Email,user1184@example.com
Ham,Email,user1448@example.com
Spam,Email,virus.detected.48@system-scan.info
Ham,URL,https://www.example.com/page2324
Spam,Email,unauthorized.access.37@security-team.net
Ham,URL,https://www.example.com/page1786
Spam,Email,lottery.winner.notification.37@lucky-draw.org
Ham,URL,https://www.example.com/page49
Spam,Email,your.package.on.hold.184@delivery-info.online
Spam,URL,http://order-processing.online/amazon-order-issue?id=57
Ham,URL,https://www.example.com/page510
Spam,URL,http://crypto-wealth.biz/bitcoin-investment-offer?id=234
Ham,Email,user2535@example.com
Ham,Email,user2614@example.com
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=240
Spam,Email,lottery.winner.notification.243@lucky-draw.org
Spam,URL,http://order-processing.online/amazon-order-issue?id=16
Ham,Email,user2387@example.com
Spam,Email,important.update.216@service-notification.org
Spam,URL,http://career-opportunities.net/job-offer-urgent?id=209
Spam,Email,bitcoin.investment.offer.112@crypto-wealth.biz
Spam,Email,unauthorized.access.216@security-team.net
Spam,URL,http://limited-time.biz/free-money-offer?id=177
